tickers
NVDA
SMCI
AVGO
VST
HWM
LLY
TRGP
ANET
EME
PWR
TTD
PLTR
MRNA
TSLA
XYZ
NCLH
PSKY
WBD
EPAM
MCK
COR
CAH
GE
WELL
BK
TDG
IBM
FICO
NRG
META
WDC
STX
RCL
APH
GOOG
GOOGL
WMB
AZO
ORLY
WRB
